smiles,name,moa,clinical_phase,our_rf_p_pathogen,our_rf_p_gut,our_rf_S,our_rf_rank,our_dmpnn_p_pathogen,our_dmpnn_p_gut,our_dmpnn_S,our_dmpnn_rank,our_chemeleon_frozen_p_pathogen,our_chemeleon_frozen_p_gut,our_chemeleon_frozen_S,our_chemeleon_frozen_rank,our_molformer_p_pathogen,our_molformer_p_gut,our_molformer_S,our_molformer_rank,stokes_dmpnn_score,stokes_dmpnn_rank,stokes_inhibition,stokes_validated_active,stokes_rf_score,stokes_rf_rank,name_lower
CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3OC(CN)=CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,sisomicin,protein synthesis inhibitor,Launched,0.8376349410400302,0.1852135593026142,0.6824935922137708,1,0.957508,0.049274,0.910328,164,0.798205,0.015652,0.785712,40,0.957528,0.016605329,0.941627932533288,46,,,,,,,sisomicin
O=c1ccc2ncc(=O)n3c2n1C[C@H]3CN1CCC(NCc2cc3c(cn2)OCCC3)CC1,gepotidacin,topoisomerase inhibitor,Phase 2,0.8635994662325978,0.218581718203548,0.6748324110638095,2,0.987958,0.327631,0.664272,385,0.675638,0.044142,0.645813,111,0.99198496,0.010791986,0.9812794721994696,8,,,,,,,gepotidacin
CCN[C@@H]1C[C@H](N)[C@@H](O[C@H]2OC(CN)=CC[C@H]2N)[C@H](O)[C@H]1O[C@H]1OC[C@](C)(O)[C@H](NC)[C@H]1O,netilmicin,protein synthesis inhibitor,Launched,0.8478987045242651,0.2076958997604552,0.6717936201823734,3,0.947231,0.053576,0.896482,178,0.874271,0.014078,0.861963,22,0.9806184,0.021651343,0.9593866946694888,25,,,,,,,netilmicin
CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H]([C@@H](C)NC)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,gentamycin,bacterial 50S ribosomal subunit inhibitor,Launched,0.7978954125433579,0.1690317219665006,0.6630257770119826,4,0.710623,0.112037,0.631007,415,0.704855,0.018829,0.691583,76,0.829428,0.009362668,0.821662341006096,161,0.355341608822345,82.0,,False,,,gentamycin
Cc1c(CN(C)C(=O)/C=C/c2cnc3c(c2)CCC(=O)N3)oc2ccccc12,AFN-1252,FABI inhibitor,Phase 2,0.9174482142465524,0.2895998159007536,0.6517553803022758,5,0.924134,0.004622,0.919863,154,0.809194,0.146569,0.690591,77,0.939481,0.031388763,0.9099918535479968,77,0.000309625584603407,4485.0,0.05915,True,,,afn-1252
NC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O,avibactam,beta lactamase inhibitor,Launched,0.7765080789428301,0.2023510556915105,0.6193808494157618,6,0.976143,0.0047,0.971555,85,0.603814,0.0297,0.585881,167,0.9684363,0.0010020431,0.9674658850877956,16,0.031013935725457,1159.0,,False,,,avibactam
C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,aztreonam,bacterial cell wall synthesis inhibitor,Launched,0.957872175215905,0.3722630776380596,0.6012917312861694,7,0.998377,0.02201,0.976403,70,0.779863,0.109575,0.69441,71,0.9600284,0.19178374,0.7759105629417841,208,,,,,,,aztreonam
C[C@H](N)C(=O)N[C@@H](C)P(=O)(O)O,alafosfalin,bacterial cell wall synthesis inhibitor,Phase 1,0.7252563050752174,0.1725772367461856,0.6000935760125878,8,0.941304,0.001791,0.939619,130,0.889348,0.000272,0.889106,16,0.99648225,0.00027652175,0.996206700984386,2,0.00699292724395995,2933.0,,False,,,alafosfalin
O=C(NC1CCNCC1)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O,relebactam,beta lactamase inhibitor,Launched,0.8020913041880177,0.2618931396074014,0.5920290942824226,9,0.898667,0.005121,0.894065,180,0.68811,0.024785,0.671055,94,0.95787,0.0014329527,0.956497417597251,30,0.0467276099664104,765.0,,False,,,relebactam
CNC[C@@H]1CC[C@@H](N)[C@@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H](N)C[C@@H]2N)O1,micronomicin,protein synthesis inhibitor,Launched,0.7119786711893836,0.1731122450490335,0.5887264449927618,10,0.985137,0.082406,0.903956,170,0.836913,0.010545,0.828088,27,0.7145436,0.0043203044,0.7114565541409281,269,0.282506209239363,108.0,,False,,,micronomicin
O=C1Nc2cc(Br)ccc2/C1=C1Nc2ccccc2C/1=N/O,GSK-3-inhibitor-IX,glycogen synthase kinase inhibitor|lipoxygenase inhibitor,Preclinical,0.7049861270754053,0.1785487587168258,0.5791117291735093,11,0.994107,0.022357,0.971882,84,0.689184,0.154401,0.582774,171,0.9770158,0.17767535,0.80342417577947,178,0.0129126641265336,2175.0,,False,,,gsk-3-inhibitor-ix
Cn1c(=O)c2c(ncn2CCO)n(C)c1=O,etofylline,adenosine receptor antagonist,Launched,0.6021134459814023,0.0476964440894008,0.5733947756696738,12,0.979179,0.005035,0.974248,74,0.150336,0.015182,0.148054,2102,0.12399112,0.003961525,0.123499926078342,1296,0.0275641833693953,1254.0,,False,,,etofylline
Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O,acefylline,adenosine receptor agonist,Launched,0.5864426974234697,0.0494353989147858,0.5574516687356774,13,0.997835,0.007675,0.990176,30,0.324016,0.024946,0.315933,740,0.7358303,0.008846915,0.7293204718814755,246,,,,,,,acefylline
C=C[C@]1(C)C[C@@H](OC(=O)CSC(C)(C)CNC(=O)[C@H](N)C(C)C)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,valnemulin,bacterial 50S ribosomal subunit inhibitor,Launched,0.7386033266164374,0.2546306007117355,0.5505323178724076,14,0.746757,0.0241,0.72876,335,0.528026,0.084767,0.483266,292,0.5536821,0.22607264,0.428509725932256,571,0.044185711768705,796.0,,False,,,valnemulin
NC(=O)OC[C@@H]1[C@H](NC(=O)/C(=N\OCC(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,carumonam,bacterial cell wall synthesis inhibitor,Launched,0.9262071394293528,0.4109441980092679,0.5455876893260991,15,0.999718,0.011428,0.988294,38,0.877052,0.215628,0.687936,80,0.993867,0.13761939,0.85709162971887,133,0.725697626173496,35.0,0.0414,True,,,carumonam
CCCCCCCCN=c1ccn(CCCCCCCCCCn2ccc(=NCCCCCCCC)cc2)cc1,octenidine,membrane integrity inhibitor,Launched,0.8206016197441434,0.3355667407168116,0.5452350087796647,16,0.841993,0.966076,0.028564,1953,0.792782,0.438879,0.444846,369,0.99014217,0.056094058,0.9346010776877742,55,0.182173018110916,171.0,,False,,,octenidine
CC(C)[C@@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@H]4C[C@@H](NCCCNCCCCNCCCN)CC[C@]4(C)[C@H]3CC[C@]12C)OS(=O)(=O)O,trodusquemine,tyrosine phosphatase inhibitor,Phase 1,0.6573899550689619,0.1920830589914055,0.5311164815490931,17,0.531853,0.341016,0.350483,701,0.125401,0.065712,0.11716,2600,0.36865374,0.0012347467,0.3681985460110923,641,,,,,,,trodusquemine
Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,azacitidine,DNA methyltransferase inhibitor,Launched,0.590693807784817,0.1286791963553808,0.514683803306967,18,0.854531,0.007453,0.848162,226,0.519054,0.004425,0.516758,245,0.87169766,0.0023439797,0.8696544183804226,124,,,,,,,azacitidine
NCCONC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O,OP-0595,beta lactamase inhibitor,Preclinical,0.6715947274535103,0.2414976670558253,0.5094061675664947,19,0.635301,0.005696,0.631682,414,0.780481,0.042186,0.747556,50,0.9925012,0.0008203549,0.991686996777324,4,,,,,,,op-0595
CC(C)Cn1cnc2c1c(=O)n(C)c(=O)n2C,isbufylline,phosphodiesterase inhibitor,Phase 2,0.5680134853122487,0.1038481697332261,0.5090263244787809,20,0.944245,0.007332,0.937322,133,0.093453,0.009722,0.092544,3049,0.77298033,0.0013251498,0.7719560152702966,211,0.0193171098653692,1653.0,,False,,,isbufylline
CC(C)(C)[C@H]1CCc2c(sc(NC(=O)c3ccco3)c2C(=O)O)C1,CaCCinh-A01,calcium-activated chloride channel inhibitor,Preclinical,0.6380319330569091,0.2181292089305309,0.498858532226788,21,0.017388,0.241266,0.013193,2417,0.630844,0.439911,0.353329,619,0.7584125,0.03949225,0.728461083946875,249,0.0562844673433119,619.0,,False,,,caccinh-a01
Cc1nc(Cn2cnc3c2c(=O)n(C)c(=O)n3C)no1,CH-170,,Phase 1,0.5292058677807775,0.0715633027166704,0.4913341480653434,22,0.001408,0.005307,0.0014,3914,0.365813,0.007654,0.363013,586,0.81199294,0.013391096,0.8011194645891377,181,0.0251375408464809,1337.0,,False,,,ch-170
CCCCCCC[n+]1ccc(-c2cc[n+](CCCCCCC)cc2)cc1,DHBP,ryanodine receptor blocker,Preclinical,0.607233154098597,0.1952080122950484,0.4886963770873571,23,0.010617,0.335528,0.007054,2800,0.470554,0.50511,0.232872,1175,0.000285583,0.15288979,0.0002419202751024,5845,0.0861132913896913,382.0,,False,,,dhbp
CC(C)[C@@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@H]4C[C@@H](NCCCNCCCCN)CC[C@]4(C)[C@H]3CC[C@]12C)OS(=O)(=O)O,squalamine,antiviral,Phase 3,0.607540688206489,0.1963790444352527,0.4882324284009629,24,0.434347,0.191892,0.350999,700,0.070054,0.068868,0.065229,3745,0.17603867,0.0018319774,0.1757161711350339,1081,,,,,,,squalamine
Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,doxofylline,adenosine receptor antagonist,Launched,0.5129814068397098,0.0488424521487663,0.4879261370229344,25,0.996516,0.006574,0.989964,31,0.766019,0.047055,0.729974,57,0.6772118,0.010113461,0.6703628448719602,299,,,,,,,doxofylline
Cn1c(=O)c2c(ncn2C[C@@H](O)CO)n(C)c1=O,dyphylline,adenosine receptor antagonist|phosphodiesterase inhibitor,Launched,0.5490338852764076,0.1151856889587818,0.4857930389391278,26,0.988594,0.00351,0.985124,47,0.084051,0.010437,0.083174,3272,0.46268222,0.004930814,0.4604008200320729,535,,,,,,,dyphylline
Nc1ncnc2c1ncn2[C@@H]1O[C@H](C[C@@H](N)CC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,sinefungin,DNA methyltransferase inhibitor|RNA synthesis inhibitor,Preclinical,0.5375205107093447,0.1007821067513656,0.4833480612179869,27,0.026214,0.005769,0.026063,2002,0.473803,0.023962,0.46245,335,0.44244015,0.001794417,0.4416462278733574,554,0.0631261504895519,545.0,,False,,,sinefungin
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,adenosine-phosphate,adenosine receptor agonist,Launched,0.5148413582652992,0.0636419260088195,0.4820758626362989,28,0.990956,0.001761,0.989211,34,0.436234,0.000483,0.436024,392,0.5096825,0.0045700315,0.5073532349200013,480,,,,,,,adenosine-phosphate
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,adenosine,adenosine receptor agonist,Launched,0.5036850884086165,0.0455980223504318,0.4807180444897811,29,0.144588,0.00562,0.143775,1087,0.709843,0.001207,0.708986,62,0.77549297,0.0032316225,0.7729868694695562,210,,,,,,,adenosine
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,vidarabine,antiviral,Launched,0.5036850884086165,0.0455980223504318,0.4807180444897811,30,0.194159,0.00574,0.193044,942,0.792772,0.001987,0.791197,39,0.6640743,0.0026332615,0.6623256187126706,305,,,,,,,vidarabine
C[C@@H](O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,Proxyphylline,,Launched,0.5403489972817472,0.112898203736477,0.4793445660978314,31,0.993225,0.00644,0.986829,44,0.03253,0.010339,0.032194,4931,0.9797871,0.00402113,0.975847248698577,10,,,,,,,proxyphylline
CC(C)[C@@H](N)C(=O)O,L-valine,,Phase 2,0.4956264561531945,0.039133486167845,0.4762308650869054,32,0.908929,0.00566,0.903785,171,0.210497,0.000119,0.210472,1382,0.93328583,0.00030117691,0.933004745857574,56,,,,,,,l-valine
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O,diadenosine-tetraphosphate,adenosine kinase inhibitor,Phase 1,0.5094088477682499,0.0707445294098428,0.4733709585556748,33,0.99991,6.1e-05,0.999848,1,0.192076,0.000334,0.192012,1565,0.2649135,0.0030401524,0.2641081225871826,828,0.0163767275584064,1860.0,,False,,,diadenosine-tetraphosphate
CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,benzyldimethylhexadecylammonium,cationic surfactant,Preclinical,0.6861725100652548,0.3128966877178528,0.4714714044627916,34,0.524282,0.626856,0.195633,936,0.581882,0.3966,0.351107,624,0.93844545,0.038726218,0.902103006922192,89,,,,,,,benzyldimethylhexadecylammonium
CCCCCCCC[N+](C)(C)Cc1ccccc1,benzyldimethyloctylammonium,,Preclinical,0.6861725100652548,0.3128966877178528,0.4714714044627916,35,0.027776,0.074985,0.025693,2014,0.157265,0.431674,0.089378,3116,0.002055743,0.002084572,0.002051457655703,4451,0.38126679752022,69.0,0.7071,False,0.64,31.0,benzyldimethyloctylammonium
CCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,benzalkonium,cationic surfactant,Launched,0.6861725100652548,0.3128966877178528,0.4714714044627916,36,0.514112,0.351028,0.333645,726,0.511659,0.411205,0.301263,809,0.876548,0.011931375,0.8660895771065,129,,,,,,,benzalkonium
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,adenosine-triphosphate,adenosine receptor agonist,Phase 2,0.5117582382251885,0.0795556908265596,0.4710449580470005,37,0.999721,0.000156,0.999565,3,0.086805,0.000183,0.08679,3180,0.4720752,0.0029099914,0.4707014652278466,520,0.00687072057607779,2952.0,,False,,,adenosine-triphosphate
COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC,trimetrexate,dihydrofolate reductase inhibitor,Phase 3,0.7128746582885053,0.344257907302748,0.4674619202569428,38,0.952596,0.401025,0.570581,483,0.562929,0.061444,0.52834,222,0.90905315,0.036402915,0.8759609654500677,117,,,,,,,trimetrexate
CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12,mitomycin-C,DNA alkylating agent|DNA synthesis inhibitor,Launched,0.6759334678533948,0.3125474644743002,0.4646721763224953,39,0.999245,0.028157,0.971109,86,0.615636,0.830263,0.104496,2817,0.96563774,0.97546625,0.023690714903725,2464,,,,,,,mitomycin-c
NC[C@H]1OB(O)c2c(OCCCO)cccc21,epetraborole,leucyl-tRNA synthetase inhibitor,Preclinical,0.5561713902799453,0.1671857939097353,0.4631874348461113,40,0.88907,0.007203,0.882666,194,0.631971,0.046268,0.602731,147,0.9920745,0.0022306403,0.9898615386396976,5,,,,,,,epetraborole
Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,cytarabine,ribonucleotide reductase inhibitor,Launched,0.5073209430582362,0.0904718400429683,0.4614226838474236,41,0.950637,0.008709,0.942357,124,0.518016,0.006909,0.514437,247,0.62360895,0.0033938193,0.6214925339098373,352,,,,,,,cytarabine
Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,cytidine,,Launched,0.5073209430582362,0.0904718400429683,0.4614226838474236,42,0.830851,0.008486,0.8238,250,0.474816,0.005186,0.472354,316,0.69069976,0.004542376,0.6875623419869703,289,,,,,,,cytidine
CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](N)C[C@H]2NC(=O)[C@@H](O)CN)OC[C@]1(C)O,isepamicin,protein synthesis inhibitor,Launched,0.827383065166146,0.4436908640775301,0.4602807580594633,43,0.996668,0.022996,0.973749,78,0.41567,0.01,0.411514,449,0.920189,0.009035436,0.911874691182596,74,0.406063859164714,66.0,0.04105,True,,,isepamicin
Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,gemcitabine,ribonucleotide reductase inhibitor,Launched,0.5422807303732405,0.1522560127208597,0.4597152285912553,44,0.997119,0.024676,0.972515,82,0.520332,0.07116,0.483305,291,0.9109606,0.054215156,0.8615727289611463,131,,,,,,,gemcitabine
Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,2-chloroadenosine,adenosine receptor agonist,Preclinical,0.512477556389647,0.1070242569468299,0.4576300267151179,45,0.973275,0.0062,0.967241,89,0.692788,0.004027,0.689998,78,0.93542415,0.01383239,0.9224849983417814,61,0.0746729978360235,448.0,,False,,,2-chloroadenosine
C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,ademetionine,methyltransferase stimulant|phosphodiesterase inhibitor,Launched,0.5600529190764812,0.1873339646639065,0.45513598532429,46,0.06512,0.006612,0.064689,1501,0.332102,0.043233,0.317744,731,0.18302353,0.0060113403,0.1819233132782627,1056,0.0690704432257916,483.0,,False,,,ademetionine
CC(C)C[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@H](CO)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc1ccccc1)[C@@H](C)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)O,orphanin-fq,opioid receptor agonist,Phase 1,0.6624252353778297,0.3172783968728317,0.4522520186490437,47,0.044703,0.74297,0.01149,2505,0.54771,0.049827,0.520419,236,0.62844336,0.016837966,0.6178616520713942,353,0.290271097514778,106.0,,False,,,orphanin-fq
CC(C)c1ccc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1,HC-030031,TRPA1 channel blocker,Phase 1,0.4832366718256371,0.0738542109287336,0.4475476087361272,48,0.351247,0.014501,0.346153,706,0.027078,0.059073,0.025479,5231,0.17744324,0.0104336785,0.1755918542818416,1083,0.0182713073474587,1723.0,,False,,,hc-030031
N[C@@H](Cc1ccc(B(O)O)cc1)C(=O)O,boronophenylalanine,,Phase 2,0.4797019285240846,0.0677718011431928,0.4471916648161442,49,0.999932,0.003408,0.996524,15,0.809236,0.001353,0.808141,32,0.6278973,0.001185692,0.6271528071945685,345,0.00230846670334472,3985.0,,False,,,boronophenylalanine
CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1ccccc1)N(C)C(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](N)CCCNC(=N)N)C(N)=O,antagonist-g,neuropeptide receptor antagonist,Phase 1,0.6554301233383238,0.3212173211140262,0.4448946149421517,50,0.204931,0.307622,0.14189,1092,0.26256,0.148331,0.223614,1243,0.23002191,0.019113913,0.2256252912241661,921,0.0846558788791298,389.0,,False,,,antagonist-g
COc1ccccc1CN[C@H]1CCCN[C@H]1c1ccccc1,CP-99994,tachykinin antagonist,Phase 2,0.5317367759522493,0.1765969912106564,0.4378336612030272,51,2e-05,0.020104,2e-05,6121,0.128039,0.022546,0.125152,2453,0.08810666,0.012006915,0.0870487708224461,1524,0.00350044678034464,3652.0,,False,0.048,1140.0,cp-99994
Nc1nc(=O)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2[nH]1,guanosine,,Preclinical,0.4834837038290567,0.0985657238322476,0.4358287826000497,52,0.051925,0.009524,0.05143,1615,0.737827,0.006968,0.732686,56,0.94151527,0.0016903187,0.9399238091327834,48,0.0355371679532254,1005.0,,False,,,guanosine
CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CC(=O)O)C(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@H]1C(=O)O,TXA127,angiotensin receptor agonist,Phase 2,0.6169141171992704,0.2953584103010793,0.4347033442510001,53,0.098415,0.366012,0.062394,1520,0.453477,0.141589,0.389269,506,0.004038233,0.030348124,0.0039156802041751,3939,0.0187601280649687,1690.0,,False,,,txa127
O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,uridine,dopamine receptor agonist,Phase 2,0.5544477790098006,0.2176493843304899,0.4337725612649099,54,0.745597,0.051392,0.70728,350,0.455692,0.010986,0.450686,359,0.78583294,0.31291994,0.5399301435651764,439,,,,,,,uridine
CC[C@@H](C)c1ccc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1,TCS-5861528,transient receptor potential channel antagonist,Preclinical,0.4889485194744274,0.1135222438784415,0.4334419864026485,55,0.384412,0.023082,0.375539,669,0.023811,0.056749,0.02246,5379,0.109636396,0.023449436,0.1070654843487273,1379,0.0184504861274035,1706.0,,False,,,tcs-5861528
C[C@@H](N)C(=O)O,alanine,,Launched,0.4451192006147109,0.0264699242607068,0.4333369290874532,56,0.765209,0.0058,0.760771,310,0.147749,0.0,0.147748,2108,0.87752676,0.0003328796,0.8772346492431419,116,0.00291619011252444,3813.0,,False,,,alanine
C[C@H](N)C(=O)O,L-alanine,,Launched,0.4451192006147109,0.0264699242607068,0.4333369290874532,57,0.528176,0.006189,0.524908,527,0.55349,0.0,0.55349,198,0.8184347,0.00034758117,0.8181502275094054,165,0.0028869822063338,3817.0,,False,,,l-alanine
CCc1cc(O)c(Oc2ccc(C(N)=O)cc2F)cc1F,MUT056399,FABI inhibitor,Phase 1,0.6262665889455058,0.3082020206699306,0.433249960754436,58,0.829945,0.553484,0.370584,676,0.189803,0.555618,0.084345,3240,0.9590785,0.056404978,0.904981698307227,85,0.171157832536846,185.0,,False,,,mut056399
O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4ccc(=O)[nH]c4=O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,diquafosol,purinergic receptor activator,Phase 3,0.559710798769823,0.2273842552553863,0.4324413756331494,59,0.999847,0.006131,0.993717,22,0.101047,0.00184,0.100861,2882,0.45030788,0.011421122,0.4451648587649586,547,,,,,,,diquafosol
O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,uridine-5'-triphosphate,purinergic receptor activator,Launched,0.5710744728160684,0.24316813401069,0.4322073588802465,60,0.999662,0.001059,0.998603,8,0.05124,0.000624,0.051208,4159,0.081295446,0.016980518,0.0799150072158789,1590,0.00227534071653446,3993.0,,False,,,uridine-5'-triphosphate
O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@H](O)[C@H]2O)c(=O)[nH]1,INS316,purinergic receptor antagonist,Phase 2,0.5710744728160684,0.24316813401069,0.4322073588802465,61,0.999179,0.001068,0.998112,10,0.069625,0.000708,0.069576,3620,0.11029625,0.020088147,0.1080806027164512,1375,0.00227154311016437,3996.0,,False,,,ins316
C=C[C@]1(C)C[C@@H](OC(=O)CS[C@@H]2C[C@H]3CC[C@@H](C2)N3C)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,retapamulin,protein synthesis inhibitor,Launched,0.5632287720374192,0.2350508770300504,0.4308413552014654,62,0.854888,0.04474,0.81664,257,0.689582,0.010074,0.682635,87,0.897113,0.012127074,0.8862336442626381,104,0.0197334461024183,1624.0,,False,,,retapamulin
CCCCCCCCCCCCCCCC[n+]1ccn(Cc2ccccc2)c1C,NH125,eukaryotic translation elongation factor 2 inhibitor,Preclinical,0.6015301288880077,0.2861493253390595,0.4294026883355868,63,0.827347,0.88917,0.091695,1322,0.506838,0.512072,0.2473,1082,0.9191799,0.31275,0.6317063862750001,340,0.202369710593484,155.0,,False,0.212,84.0,nh125
CCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21,pipemidic-acid,topoisomerase inhibitor,Launched,0.7289174991866431,0.4110294190244009,0.429310962979238,64,0.918837,0.118334,0.810107,263,0.620732,0.220339,0.483961,288,0.6717085,0.052364856,0.636534581123524,333,,,,,,,pipemidic-acid
CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCNC(=N)N)C(N)=O,substance-P,neurokinin receptor antagonist,Phase 1,0.7067833881506614,0.3951250357902118,0.4275155766117041,65,0.267499,0.373487,0.167591,1017,0.49734,0.115815,0.43974,383,0.057710994,0.022143997,0.0564330419219969,1807,0.200636477256193,156.0,,False,,,substance-p
C[C@@H](O)[C@H](N)C(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)O,tuftsin,macrophage activator,Preclinical,0.6318330662465084,0.3255090436829709,0.4261656890853282,66,0.000189,0.027385,0.000184,5207,0.50538,0.03471,0.487838,277,0.0029325804,0.019065902,0.0028766681094864,4193,,,,,,,tuftsin
N=C(N)SCc1ccc(B(O)O)cc1,BC-11,urokinase inhibitor,Preclinical,0.4843341711680459,0.1222907945931356,0.4251045605272978,67,0.999789,0.010176,0.989615,32,0.976371,0.01853,0.958279,8,0.9107053,0.00093695964,0.909852005889966,78,0.00515204922376142,3240.0,,False,,,bc-11
NCCCC[C@H](NC(=O)[C@@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)CCCCN)C(c1ccccc1)c1ccccc1)C(N)=O,LTX-315,anticancer agent,Phase 2,0.6255541293852191,0.3241239611506692,0.4227970470547236,68,0.591635,0.998678,0.000782,4324,0.550536,0.293218,0.389109,507,0.3714509,0.015307749,0.3657648228569758,645,,,,,,,ltx-315
